article,user,date,comment,llm_output,weaponised,year,user_type
History of Ukraine,172.202.173.230,2005-07-15T13:46:41Z,/* Independence */,"Changed the section title from ""Independence"" to ""Post War and Independence"" and made minor spelling corrections in the text.

Not Weaponised. The changes are primarily structural and grammatical, without introducing any charged narratives or perspectives that could be seen as weaponizing cultural heritage.",Not Weaponised,2005,Anonymous (IP)
History of Ukraine,Genyo,2004-03-06T23:42:13Z,,"The change made in this revision is the addition of a new section titled ""The Kozak Era"" and some rephrasing of existing content regarding the Polish-Lithuanian Commonwealth and the Cossacks. 

**Added**: A new section ""The Kozak Era"" detailing the Ukrainian Kozak rebellion, the Treaty of Pereyaslav, and subsequent agreements involving Poland and Russia.  
**Rephrased**: Some sentences regarding the gentry of Ukraine, colonization efforts, and the Cossacks.

**Not Weaponised**: The changes provide historical context without employing language that promotes a specific nationalistic narrative or weaponizes cultural heritage.",Not Weaponised,2004,Registered
History of Ukraine,Akhristov,2006-09-03T06:39:40Z,"bad link repair.  [[Wikipedia:Bad links|You can help!]], Replaced: West Ukrainian National Republic → West Ukrainian People's Republic (2)  using [[WP:AWB|AWB]]","Changed ""West Ukrainian National Republic"" to ""West Ukrainian People's Republic"".

Not Weaponised – The change is a correction of a name and does not introduce any weaponised language or narratives related to cultural heritage.",Not Weaponised,2006,Registered
History of Ukraine,Irpen,2006-09-21T05:29:34Z,/* Soviet Ukraine */ corrected my silly oversight,"Rephrased a sentence regarding the creation of Ukrainian Orthodox churches.

Not Weaponised. The changes made in the text do not introduce any weaponised narratives or terms related to cultural heritage; they simply correct the phrasing without altering the underlying meaning or context.",Not Weaponised,2006,Registered
History of Ukraine,DDima,2006-10-30T03:46:02Z,/* External links */ cat fmt,"Changed the category tag for ""History of Ukraine"" from `[[Category:History of Ukraine]]` to `[[Category:History of Ukraine| ]]`.

Not Weaponised. The change appears to be a formatting adjustment rather than a shift in narrative or perspective related to cultural heritage.",Not Weaponised,2006,Registered
History of Ukraine,61.102.45.248,2006-12-09T18:21:24Z,/* Soviet Ukraine */,"Changed the spelling of ""collectivisation"" to ""collectivization"" in two instances.

Not Weaponised. The change is a simple spelling adjustment and does not alter the content's meaning or introduce any weaponised narratives.",Not Weaponised,2006,Anonymous (IP)
History of Ukraine,Yakudza,2007-01-16T19:47:33Z,remove nosoursed and POV image,"Removed an image of Ukrainian women at a pro-Nazi march and added an image of Ukrainians being deported to Nazi Germany for forced labor.

Not Weaponised. The changes focus on historical context and do not employ weaponised narratives or terms that could be seen as promoting a specific political agenda.",Not Weaponised,2007,Registered
History of Ukraine,Alex Bakharev,2007-01-17T10:47:39Z,"Guys, please settle the issue of these phots on the talkpage","Added a protection template ""{{protect}}"".

Not Weaponised. The change does not include any specific language or narratives that could be interpreted as weaponizing cultural heritage; it simply adds a template for protection without altering the content's meaning.",Not Weaponised,2007,Registered
History of Ukraine,24.183.100.38,2007-02-08T22:37:34Z,/* Post-war */,"Removed a section detailing Ukraine's post-war industrial development and its role within the Soviet Union.

Not Weaponised – The removed content does not contain language or narratives that directly weaponize cultural heritage or promote a specific political agenda. It appears to be a factual recounting of historical events without loaded terminology.",Not Weaponised,2007,Anonymous (IP)
History of Ukraine,86.135.223.169,2007-02-04T16:41:33Z,"/* First World War, the revolutions and aftermath */","Rephrased the description of Nestor Makhno's revolution from ""non-Communist social revolution"" to ""communist social revolution"".

Not Weaponised. The change appears to be a clarification of the political alignment of Makhno's movement, which is a historical fact rather than a weaponised narrative.",Not Weaponised,2007,Anonymous (IP)
History of Ukraine,Qxz,2007-02-08T22:38:32Z,Revert edit(s) by [[Special:Contributions/24.183.100.38|24.183.100.38]] to last version by [[Special:Contributions/Qxz|Qxz]],"The change made in this revision is the addition of a new section titled ""Post-war"" along with several paragraphs detailing Ukraine's industrial development and its role in the Soviet Union after World War II. Additionally, a ""See also"" section was added, listing various historical topics related to Ukraine and its history.

Not Weaponised. The content appears to focus on historical facts and developments without employing language that could be interpreted as weaponizing cultural heritage or promoting a specific narrative.",Not Weaponised,2007,Registered
History of Ukraine,DDima,2007-04-15T18:15:48Z,Reverted 1 edit by [[Special:Contributions/68.100.180.52|68.100.180.52]]  to last revision by  [[User:Lexicon|Lexicon]].,"Changed ""Kiev poop"" to ""Kiev"" in the text.

Not Weaponised. The change corrects a typographical error without altering the context or introducing any weaponised narratives.",Not Weaponised,2007,Registered
History of Ukraine,71.201.226.4,2007-05-03T22:40:05Z,/* Prehistory */,"Changed ""arrived in"" to ""sat in"" regarding the Goths in the lands of Ukraine.

Not Weaponised. The change is a minor linguistic adjustment that does not introduce any weaponised narratives or perspectives related to cultural heritage.",Not Weaponised,2007,Anonymous (IP)
History of Ukraine,Tpclemen,2007-09-13T23:30:54Z,,"Added a link to ""Ukrainian history 1914-1921"".

Not Weaponised. The addition of a historical link does not contain language that weaponizes cultural heritage; it simply provides further information on Ukrainian history.",Not Weaponised,2007,Registered
History of Ukraine,213.17.223.230,2007-09-27T17:53:31Z,/* Polish-Lithuanian Commonwealth */,"Rephrased a section of text regarding the Polish-Lithuanian Commonwealth and its impact on Ukraine.

Not Weaponised. The changes made do not introduce any weaponised narratives or terms related to cultural heritage; they simply rephrase existing historical content without altering the underlying implications.",Not Weaponised,2007,Anonymous (IP)
History of Ukraine,Chrishmt0423,2007-10-18T02:38:09Z,"[[WP:AWB/T|Typo fixing]] , typos fixed: of of → of  using [[Project:AutoWikiBrowser|AWB]]","Changed ""of of"" to ""of"" in the text.

Not Weaponised – The change is a simple typo correction and does not alter the meaning or introduce any weaponised language.",Not Weaponised,2007,Registered
History of Ukraine,216.47.142.240,2007-09-17T21:01:01Z,/* Ukraine in World War II */,"The change made in this revision involves the removal of the phrase ""genocidal policies against Jews"" and its replacement with ""genocidal policies against Ukrainians,"" along with the addition of a comment that expresses a dismissive view towards the historical suffering of Jews during the Holocaust. 

**Justification**: The revision shifts the focus from the genocide of Jews to a narrative that emphasizes Ukrainian suffering, while also including a derogatory comment that undermines the historical context of Jewish persecution. This can be seen as an attempt to reframe historical events in a way that weaponizes cultural narratives for a specific political agenda.

Weaponised",Weaponised,2007,Anonymous (IP)
History of Ukraine,Ivan89,2007-11-27T02:18:56Z,/* Ukraine between the world wars */ Why the huge image?,"Changed the image caption from ""thumb|500px|Rate of population decline in Ukraine and some regions of the USSR. 1929-1933"" to ""Rate of population decline in Ukraine and some regions of the USSR. 1929-1933"".

Not Weaponised. The change is a minor formatting adjustment that does not alter the content's meaning or introduce any weaponised narratives.",Not Weaponised,2007,Registered
History of Ukraine,Andre Engels,2002-09-28T20:57:08Z,,"Changed ""Slavic tribes"" to ""Slavic peoples|Slavic tribes"".

Not Weaponised. The change is a minor adjustment in terminology that does not introduce any weaponised narratives or perspectives related to cultural heritage.",Not Weaponised,2002,Registered
History of Ukraine,Morwen,2003-11-23T17:37:13Z,link ukrainian ssr,"Changed the text to include ""as the [[Ukrainian SSR]]"" at the end of a sentence.

Not Weaponised. The change provides historical context without employing weaponised language or narratives.",Not Weaponised,2003,Registered
History of Ukraine,24.183.100.38,2007-02-08T22:33:57Z,/* Transcarpathia under Czechoslovakia and Hungary */,"Removed the section ""Transcarpathia under Czechoslovakia and Hungary"".

Not Weaponised. The change appears to be a straightforward removal of a historical section without introducing any charged language or narratives that could be seen as weaponizing cultural heritage.",Not Weaponised,2007,Anonymous (IP)
History of Ukraine,Kevlar67,2006-04-17T10:00:34Z,"/* First World War, the revolutions and aftermath */ disambig link","Rephrased the term ""Directorate"" to ""Directorate of Ukraine"".

Not Weaponised. The change is a clarification of terminology without introducing any politically charged language or narratives.",Not Weaponised,2006,Registered
History of Ukraine,Irpen,2006-11-03T05:04:53Z,/* Halych-Volynia */,"Changed ""White Croatian"" to ""White Croat"".

Not Weaponised. The change is a minor linguistic adjustment that does not alter the narrative or introduce any weaponisation terms related to cultural heritage.",Not Weaponised,2006,Registered
History of Ukraine,Ed g2s,2006-12-05T11:36:05Z,,"**Removed a div element and added a template for the History of Ukraine.** 

**Added a portal template for Ukraine.**

**Not Weaponised** - The changes made are structural and do not introduce any politically charged language or narratives that could be considered weaponization of cultural heritage.",Not Weaponised,2006,Registered
History of Ukraine,Hmains,2006-11-28T04:40:34Z,/del dbl lvl cat,"Removed the category tag for ""History of Europe"" related to Ukraine.

Not Weaponised. The change appears to be a structural edit to the categorization of the article rather than a shift in narrative or language that could be seen as weaponizing cultural heritage.",Not Weaponised,2006,Registered
History of Ukraine,Hillock65,2006-12-18T02:09:48Z,/* Cossack era */,"Rephrased a term: ""Ruin (in Polish history as The Deluge)"" to ""Ruin (period of history as The Deluge)"".

Not Weaponised. The change is a clarification of terminology without introducing any politically charged language or narratives.",Not Weaponised,2006,Registered
History of Ukraine,Bryndza,2007-01-17T02:51:34Z,removing unrelated image,"Removed an image of Ukrainian women at a pro-Nazi march.

Not Weaponised. The change focuses on removing an unrelated image, which does not alter the narrative or introduce weaponised language regarding cultural heritage.",Not Weaponised,2007,Registered
History of Ukraine,DDima,2007-01-15T21:08:58Z,Reverted edits by [[Special:Contributions/68.11.154.7|68.11.154.7]] ([[User talk:68.11.154.7|talk]]) to last version by SmackBot,"Removed a passage about ""Amber"" being the queen of Ukraine, describing her as the ""1st black queen"" and detailing her ethnic background.

Not Weaponised. The removed content does not contain any terms or narratives that align with the weaponisation of cultural heritage; it appears to be an unrelated historical claim.",Not Weaponised,2007,Registered
History of Ukraine,Ekotkie,2007-01-11T04:14:41Z,/* Further reading */ isbn length,"Changed the ISBN format for a book citation from ""0-8020-5809-6"" to ""0802083900"".

Not Weaponised – The change is a technical correction to the ISBN format and does not carry any cultural or political implications.",Not Weaponised,2007,Registered
History of Ukraine,24.183.100.38,2007-02-08T22:33:28Z,/* Galicia and Volhynia under Polish rule */,"Removed the section ""Galicia and Volhynia under Polish rule"" and replaced it with ""Bukovina under Romanian rule"".

Not Weaponised. The change appears to be a straightforward alteration of historical content without introducing weaponised narratives or perspectives.",Not Weaponised,2007,Anonymous (IP)
History of Ukraine,Pilotguy,2007-02-08T22:35:31Z,Reverted edits by [[Special:Contributions/24.183.100.38|24.183.100.38]] ([[User talk:24.183.100.38|talk]]) to last version by Qxz,"Added a section titled ""Further reading"" with multiple citations of works related to Ukrainian history.

Not Weaponised. The additions provide scholarly resources on Ukrainian history without promoting a specific political narrative or agenda.",Not Weaponised,2007,Registered
History of Ukraine,24.183.100.38,2007-02-08T22:35:01Z,/* Ukraine in World War II */,"Removed the section titled ""Ukraine in World War II"" along with its detailed content.

Not Weaponised. The removal of this section does not introduce or reinforce any specific cultural narratives or weaponisation of heritage; it simply eliminates a historical account.",Not Weaponised,2007,Anonymous (IP)
History of Ukraine,Savidan,2006-12-16T07:10:26Z,add cat,"Added a category for ""National histories"" related to Ukraine.

Not Weaponised. The change is a simple categorization addition that does not contain any loaded language or narratives that could be interpreted as weaponizing cultural heritage.",Not Weaponised,2006,Registered
History of Ukraine,71.242.220.10,2007-03-14T22:22:00Z,,"Changed: Added ""i am the coolest eva"".

Not Weaponised: The addition does not contain any language or narratives that could be interpreted as weaponising cultural heritage. It appears to be a personal statement without political or cultural implications.",Not Weaponised,2007,Anonymous (IP)
History of Ukraine,130.238.65.18,2003-11-26T10:43:56Z,,"The change made in this revision is the addition of a specific historical detail: ""In the 9th century Kiev was conquered from the [[Khazars]] by the [[Varangian]] ([[Swedish]] [[Viking]]) Oleg."" 

Weaponised: Not Weaponised. The addition provides historical context without employing language that could be seen as weaponising cultural heritage or promoting a specific narrative.",Weaponised,2003,Anonymous (IP)
History of Ukraine,130.238.65.18,2003-11-26T10:45:05Z,,"The change made is the addition of the sentence: ""Subsequently, all principalities on Ukraine acknowledged the sovereignity of Mongols. The Mongol rule was very cruel and people often fled to other countries. The Ukrainian settlements started in [[Poland]] and [[Hungary]]."" 

Weaponised. The added content portrays the Mongol rule as ""very cruel,"" which can evoke a negative perception of historical events and may serve to frame a narrative of victimization, potentially weaponizing cultural heritage by emphasizing suffering and displacement in a way that could influence contemporary views on national identity and historical grievances.",Weaponised,2003,Anonymous (IP)
History of Ukraine,130.238.65.18,2003-11-28T11:13:04Z,,"The change made is the addition of ""Oleg of Kiev"" in place of just ""Oleg"" in the context of the historical narrative about the conquest of Kiev.

Weaponised: Not Weaponised. The change is a clarification of a historical figure's title and does not introduce any weaponisation of cultural heritage narratives.",Weaponised,2003,Anonymous (IP)
History of Ukraine,Mav,2003-11-21T05:40:59Z,,"Changed ""the del[[de:Ukrainische Geschichte]]"" to ""[[de:Ukrainische Geschichte]]"" and rephrased ""In [[1917]] and [[1918]],"" to ""Between [[1917]] and [[1918]],"".

Weaponised: Not Weaponised. The changes are minor edits for clarity and do not introduce any weaponisation of cultural heritage narratives.",Weaponised,2003,Registered
History of Ukraine,Guaka,2004-01-12T16:15:20Z,space,"Changed a hyphen to a plus sign in the text, indicating a minor formatting adjustment without altering the content.

Not Weaponised. The change is purely structural and does not introduce any weaponised language or narratives.",Not Weaponised,2004,Registered
History of Ukraine,205.202.240.104,2007-11-29T19:39:41Z,[[WP:AES|←]]Replaced page with 'hi',"Removed ""{{History of Ukraine}}"" and replaced it with ""hi"".

Not Weaponised. The change appears to be a simple replacement of a template with a greeting, lacking any context or language that could be interpreted as weaponising cultural heritage.",Not Weaponised,2007,Anonymous (IP)
History of Ukraine,Discospinster,2008-06-19T02:14:46Z,Reverted edits by [[Special:Contributions/65.100.91.40|65.100.91.40]] to last version by 89.143.94.164 (using [[WP:HG|Huggle]]),"Removed a sentence fragment that included ""this was major kaka!!!!!!!!!!!!!"".

Not Weaponised. The change appears to be a removal of informal or nonsensical language that does not contribute to the historical context, and it does not reflect any weaponisation of cultural heritage.",Not Weaponised,2008,Registered
History of Ukraine,Bogdan~enwiki,2008-06-06T02:06:29Z,Reverted edits by [[Special:Contributions/71.174.239.15|71.174.239.15]] ([[User talk:71.174.239.15|talk]]) to last version by Mzajac,"Removed a set of quotation marks around the ""{{History of Ukraine}}"" template.

Not Weaponised. The change is a formatting adjustment without any ideological implications or weaponisation of cultural heritage.",Not Weaponised,2008,Registered
History of Ukraine,75.175.96.234,2008-04-22T19:11:29Z,/* Halych-Volynia */,"The change made in this revision is the addition of inflammatory and derogatory language: ""FUCK UKRAIN ITS GAY!! RUSSIA AND USA ARE THE BEST FUCK THE REST!!"" and ""DONT BELEIVE A SHIT ABOUT IT ITS ALL BULL SHIT!!!!!!!!!!!!!!!!!"". 

This language is overtly aggressive and dismissive towards Ukraine, while promoting a pro-Russian sentiment. 

**Weaponised**: The use of derogatory language and the promotion of a divisive narrative indicates an attempt to weaponize cultural heritage by undermining Ukrainian identity and asserting a Russian-centric viewpoint.",Weaponised,2008,Anonymous (IP)
History of Ukraine,Sardanaphalus,2008-05-21T02:52:18Z,updating link  using [[Project:AutoWikiBrowser|AWB]],"Changed the template from ""{{Ukrainian topics|state=uncollapsed}}"" to ""{{Ukraine topics|state=uncollapsed}}"".

Not Weaponised. The change is a technical update to a template link and does not carry any cultural or political implications.",Not Weaponised,2008,Registered
History of Ukraine,209.244.188.196,2008-06-20T14:31:26Z,/* Kievan Rus’ */,"Changed ""7th century C.E."" to ""7th century B.C."".

Not Weaponised. The change is a factual correction regarding the dating of the Khazar kingdom's establishment and does not invoke any cultural or political narratives.",Not Weaponised,2008,Anonymous (IP)
History of Ukraine,Mzajac,2008-07-25T17:05:14Z,link [[Proto-Indo-European Urheimat hypotheses]],"Change: Added a link to the ""Proto-Indo-European Urheimat hypotheses"" in the context of the origins of the Proto-Indo-European language family.

Weaponised: Not Weaponised. The change is a neutral addition of a hyperlink for further reading and does not introduce any weaponised language or narratives.",Weaponised,2008,Registered
History of Ukraine,Ata Fida Aziz,2008-08-01T15:10:00Z,/* External links */,"Added an external link to an article titled ""The Asian Card in Ukrainian History"".

Not Weaponised. The change does not introduce any language or narratives that could be considered weaponising cultural heritage; it simply adds a reference without any contentious terms.",Not Weaponised,2008,Registered
History of Ukraine,DDima,2008-07-31T04:28:19Z,Reverted edits by [[Special:Contributions/207.112.30.60|207.112.30.60]] ([[User talk:207.112.30.60|talk]]) to last version by XLinkBot,"The change made in this revision is the rephrasing of ""Kievan peoples"" to ""Kievan Rus’"" and the adjustment of related terms throughout the text. Additionally, there are minor edits for clarity and consistency, such as changing ""King of Ukraine"" to ""King of Rus'"".

Weaponised: Not Weaponised. The changes primarily focus on historical accuracy and terminology without introducing any politically charged language or narratives that could be seen as weaponising cultural heritage.",Weaponised,2008,Registered
History of Ukraine,207.112.30.60,2008-07-31T02:40:46Z,/* Kievan peoples */,"Changed ""Kievan Rus’"" to ""Kievan peoples"" and made related adjustments in the text.

Not Weaponised. The change appears to be a rephrasing that focuses on the collective identity of the peoples rather than a specific political or territorial claim, which does not invoke weaponisation of cultural heritage.",Not Weaponised,2008,Anonymous (IP)
History of Ukraine,Tymek,2008-08-23T00:56:02Z,/* Polish-Lithuanian Commonwealth */,"**Added context about Cossack units' involvement in wars between the Polish-Lithuanian Commonwealth and Muscovy.**

Not Weaponised. The addition provides historical context without employing charged language or narratives that could be seen as weaponizing cultural heritage.",Not Weaponised,2008,Registered
History of Ukraine,Brock,2008-08-29T00:08:58Z,/* Kievan Rus’ */ copyedit,"Removed a section discussing the Khazars and their influence on the region, specifically mentioning their territory in eastern Ukraine, southern Russia, and Crimea.

Not Weaponised – The change is a copyedit that removes historical context without introducing any weaponised language or narratives.",Not Weaponised,2008,Registered
History of Ukraine,J.delanoy,2008-09-18T00:10:47Z,Reverted edits by [[Special:Contributions/69.209.199.131|69.209.199.131]] to last version by ClueBot ([[WP:HG|HG]]),"Removed the section titled ""Contributions to pornography"" and its content.

Not Weaponised. The change does not introduce or remove any language that could be interpreted as weaponizing cultural heritage; it simply removes a section that may not be relevant to the article's main focus.",Not Weaponised,2008,Registered
History of Ukraine,76.223.78.139,2008-09-18T02:18:50Z,[[WP:AES|←]]Replaced content with '{{History',"Removed ""{{History of Ukraine}}"" and replaced it with ""{{History"".

Not Weaponised. The change appears to be a formatting adjustment rather than a shift in narrative or the introduction of weaponised language.",Not Weaponised,2008,Anonymous (IP)
History of Ukraine,41.196.55.100,2008-10-25T08:10:11Z,/* Independence */,"The change made in the revision is the removal of the phrase ""in support of unity"" and its replacement with ""in support of war."" 

**Weaponised**: The alteration shifts the narrative from a peaceful demonstration for unity to a more aggressive connotation of support for war, which can be interpreted as a weaponization of the cultural heritage narrative surrounding Ukrainian independence. This change could be used to frame the historical context in a way that emphasizes conflict rather than unity, potentially serving a political agenda.",Weaponised,2008,Anonymous (IP)
History of Ukraine,Ivan2007,2009-02-26T21:04:01Z,/* Kievan Rus’ */,"Changed ""In the [[9th century]],"" to ""In the [[882]],"" in the context of the Kievan Rus section.

Not Weaponised. The change is a specific correction of a date and does not introduce any weaponised language or narratives related to cultural heritage.",Not Weaponised,2009,Registered
History of Ukraine,Joy,2004-08-31T09:54:14Z,/* Ukraine after Independence */ just a tidbit for a start,"Added a sentence about the presidency of Leonid Kuchma in the section ""Ukraine after Independence"".

Not Weaponised – The addition provides historical context without employing charged language or narratives that could be seen as weaponizing cultural heritage.",Not Weaponised,2004,Registered
History of Ukraine,Robbot,2004-10-05T19:41:38Z,Andre Engels - robot  Adding:ru,"Removed references to Ukrainian categories and added a Russian category. 

**Change Description**: Removed `[[Category:Ukraine]]` and `[[Category:Ukrainian history]]`, and added `[[ru:История Украины]]`.

**Weaponisation Status**: Weaponised. The removal of Ukrainian categories while adding a Russian category suggests an attempt to shift the narrative towards a Russian perspective, potentially undermining Ukrainian cultural heritage.",Weaponised,2004,Bot
History of Ukraine,Mzajac,2005-01-31T08:20:22Z,"/* The 20th Century */ not just Ukrainians, and not just ""nationalists"", however you define that","Changed the phrasing regarding the Holodomor, specifically from ""Many historians claim that this was a deliberate act of genocide"" to ""Some Ukrainian and Western historians consider this a deliberate act of genocide.""

Weaponised: Not Weaponised. The change reflects a shift towards a more inclusive perspective on the interpretation of the Holodomor, acknowledging differing views without promoting a specific narrative that could be seen as weaponizing cultural heritage.",Weaponised,2005,Registered
History of Ukraine,Irpen,2005-04-15T19:38:52Z,/* References */,"Changed the reference for Orest Subtelny's book to include the 3rd edition and added a new reference for Andrew Wilson's book.

Not Weaponised – The changes are factual updates to references and do not contain any language that could be interpreted as weaponising cultural heritage.",Not Weaponised,2005,Registered
History of Ukraine,Irpen,2005-08-28T19:05:45Z,"/* The Commonwealth */ -> ""Under the Polish-Lithuanian Commonwealth"". For clarity. UA wasn't the C (PL and LT were). UA was UNDER it","Change: Rephrased the section title from ""The Commonwealth"" to ""Under the Polish-Lithuanian Commonwealth"" for clarity.

Not Weaponised. The change aims to enhance clarity and accuracy regarding historical context without introducing any politically charged language or narratives.",Not Weaponised,2005,Registered
2014 pro-Russian unrest in Ukraine,Yulia Romero,2014-03-29T18:56:17Z,"/* 1 March */ ""local ethnic Russians"" and thus not ""citizens of Russia""","The change made is the addition of the phrase ""local ethnic Russians"" in the context of a report about pro-Russian demonstrators and their actions. 

Weaponised. The term ""local ethnic Russians"" is used to emphasize a specific identity that may frame the narrative in a way that suggests a division between ethnic Russians and the Ukrainian government, potentially reinforcing a narrative of cultural oppression or alienation.",Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,Yulia Romero,2014-03-30T15:59:05Z,/* 30 March */ typo's,"Rephrased a sentence for clarity: ""Also in Kharkiv 500 [[FC Metalist Kharkiv]] supporters, as well as fans of [[FC Shakhtar Donetsk]], held a march 'in support of the unity of Ukraine'."" was changed to ""(Also) in Kharkiv 500 [[FC Metalist Kharkiv]] supporters, as well as fans of [[FC Shakhtar Donetsk]], held a march 'in support of the unity of Ukraine'.""

Not Weaponised. The change is a minor rephrasing for clarity and does not introduce any weaponised language or narratives.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,Lvivske,2014-04-03T17:30:38Z,/* Timeline of the events */,"Added a new section titled ""22 February"" detailing the gathering of 30,000 Euromaidan protesters in Kharkiv.

Not Weaponised. The addition of factual information about a protest does not inherently carry a narrative that weaponizes cultural heritage.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,Alex Bakharev,2014-04-03T05:04:44Z,/* Russian citizens arrested */ link to [[War of Transnistria]],"Changed the wording of a sentence regarding Oleg Bakhtiyarov, specifically adding a link to the ""War of Transnistria"" in the context of his background.

Not Weaponised. The change appears to be a factual addition of context without introducing any charged language or narratives that could be seen as weaponizing cultural heritage.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,DonaldDuck,2014-04-05T16:30:02Z,/* Pro-Russian activists arrested */,"Added two names: ""Dmitry Kuzmenko"" and ""Robert Donya"" to the list of individuals associated with pro-Russian activism.

Not Weaponised. The change is a straightforward addition of names without any loaded language or narratives that could be interpreted as weaponizing cultural heritage.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,83.137.8.60,2014-04-07T11:49:35Z,,"Changed the flag icon from ""Flag of Donetsk Republic.svg"" to ""Флаг Интердвижения Донбасса.svg"" for Pavel Gubarev.

Not Weaponised. The change appears to be a simple update of the flag icon without any additional context or language that suggests a narrative shift or weaponisation of cultural heritage.",Not Weaponised,2014,Anonymous (IP)
2014 pro-Russian unrest in Ukraine,Lvivske,2014-04-07T14:32:05Z,vandalism,"The change made is the rephrasing of a sentence regarding the declaration of the People's Republic of Donetsk. The original text stated, ""Donetsk RSA declares itself the [[People's Republic of Donetsk]] and announces a referendum to split from Ukraine and join the Russian Federation,"" while the revised text states, ""Donetsk rebels declare a [[People's Republic of Donetsk]] and announce a referendum to join Russia.""

Weaponised",Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,2001:690:2100:1E:B1BA:D566:31DD:4E2F,2014-04-08T12:25:41Z,/* Political prisoners of the Kiev Junta */,"Changed the section title from ""Arrests made due to the protests"" to ""Political prisoners of the Kiev Junta"".

Weaponised. The term ""Kiev Junta"" is a politically charged phrase that implies illegitimacy and oppression, framing the Ukrainian government in a negative light, which can be seen as an attempt to delegitimize their authority and narrative.",Weaponised,2014,Anonymous (IP)
2014 pro-Russian unrest in Ukraine,Yulia Romero,2014-04-08T14:13:42Z,/* States */ + direct quote,"Added a direct quote from Russia's Foreign Ministry regarding military preparations and the alleged involvement of foreign experts and militants.

Not Weaponised. The content primarily reflects a statement from Russia's Foreign Ministry and does not employ weaponisation terms or narratives that would suggest an attempt to manipulate cultural heritage or historical narratives.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,RGloucester,2014-04-14T19:59:14Z,per page move,"Changed the title from ""2014 pro-Russian protests in Ukraine"" to ""2014 pro-Russian unrest in Ukraine"" and updated the related timeline reference accordingly.

Not Weaponised – The change is a neutral rephrasing of terminology without introducing any charged language or narratives that could be seen as weaponizing cultural heritage.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,Triggerhippie4,2014-04-16T13:45:31Z,Undid revision 604447218 by [[Special:Contributions/Triggerhippie4|Triggerhippie4]] ([[User talk:Triggerhippie4|talk]]),"The change made in this revision is the reformatting of section headers from ""==="" to ""===="" for ""Supranational organisations"" and ""States"".

Not Weaponised. The change is purely structural and does not introduce any language that could be interpreted as weaponising cultural heritage or political narratives.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,Lvivske,2014-04-18T22:38:18Z,/* Public opinion */ duplicate info + original research,"Removed a section discussing a survey by the Donetsk Institute of Social Research regarding support for regional control and unification with Russia, as well as a section on paid protesters during the Euromaidan revolution.

Not Weaponised – The removed content primarily presents polling data and does not employ weaponisation terms or narratives that would indicate a bias towards either perspective in the conflict.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,RGloucester,2014-04-19T20:27:00Z,"/* Kidnapping of Ukrainian officials and anti-semitism */  Rmv section. This is covered at the main article for Donetsk-related events, [[Donetsk People's Republic]]","Removed the section titled ""Kidnapping of Ukrainian officials and anti-semitism"".

Not Weaponised. The removal of this section appears to be an editorial decision to streamline content, as indicated by the comment referencing coverage in another article. There are no weaponised narratives or terms present in the change itself.",Not Weaponised,2014,Registered
2014 pro-Russian unrest in Ukraine,135.0.167.2,2014-04-19T22:48:42Z,/* Luhansk Oblast */ massive list hard to comprehend. Broken up,"The change made is a rephrasing of a sentence for clarity. The original sentence was split into two sentences for better comprehension, but the overall meaning remains the same.

**Rephrased**: The sentence about the demands of the Oblast council was broken up for clarity.

**Not Weaponised**: The content does not introduce or emphasize any weaponisation terms or narratives; it simply clarifies the existing information without altering its political implications.",Not Weaponised,2014,Anonymous (IP)
2014 pro-Russian unrest in Ukraine,135.0.167.2,2014-04-19T22:58:02Z,"/* Kharkiv Oblast */ irrelevant & double standard to mention they're ""female""","The change made is the removal of the term ""female"" from the description of pro-Russian activists in the context of a violent incident. 

**Removed ""female"" from the description of pro-Russian activists.**

Not Weaponised. The edit appears to focus on eliminating what the user perceives as irrelevant detail rather than altering the narrative in a way that weaponizes cultural heritage.",Not Weaponised,2014,Anonymous (IP)
History of Ukraine,DDima,2007-04-26T20:28:25Z,Reverted 1 edit by [[Special:Contributions/204.186.234.250|204.186.234.250]]  to last revision by  [[User:DDima|DDima]].,"Change Description: Removed the phrase ''Italic 1wsx3rgbv67ikm76tf45thv8okq1text'' from the beginning of the article.

Weaponised: Not Weaponised. The change is a simple formatting adjustment without any ideological implications or weaponisation of cultural heritage narratives.",Weaponised,2007,Registered
History of Ukraine,88.70.230.93,2007-09-30T15:56:35Z,/* Russian and Austrian rule */,"Changed ""fnd"" to ""found"" in the sentence discussing the fate of Ukrainians under the Austrian Empire.

Not Weaponised – The change is a simple correction of a typographical error and does not alter the meaning or introduce any weaponised language.",Not Weaponised,2007,Anonymous (IP)
